Delivery Service,Number of Branches (Kyiv),Delivery Time min,Delivery Time max,Mobile App,API,Loyalty Program,International Shipping,Fulfillment,Time Slot Delivery,Large Cargo Shipping,User Rating (1-10),Popularity (%)
Nova Poshta,247,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.45,97
Ukrposhta,174,1,6,Yes,Yes,Yes,Yes,No,No,Yes,7.8,33
Intime,34,1,2,Yes,Yes,No,Yes,Yes,Yes,Yes,7.2,12
Mist Express,150,1,3,Yes,Yes,No,Yes,No,No,Yes,7.0,20
Delivery,42,1,3,Yes,Yes,Yes,No,No,Yes,No,6.5,7
Delfast,1,0,1,Yes,Yes,No,No,Yes,No,No,3.47,0.8
Avtolux,20,1,3,Yes,Yes,Yes,Yes,No,Yes,Yes,6.0,"0,5"
Zruchna,2,1,1,No,Yes,No,No,Yes,No,No,5.5,3
