Adj Close,Close,High,Low,Open,Volume,Cluster
-0.8812023190790754,-0.8812023190790754,-0.8815791864301861,-0.8804865112405801,-0.8809586680631806,-0.9175838871472654,0
-0.8827784014371317,-0.8827784014371317,-0.8821101885395753,-0.8824174019259536,-0.881390717259309,-0.916904273665462,0
-0.8841987634290185,-0.8841987634290185,-0.883472420971161,-0.8838205608051507,-0.882962528237297,-0.9167303259408137,0
-0.8835227932160818,-0.8835227932160818,-0.8836854503011404,-0.8835577762183512,-0.8843746966829417,-0.916783783293353,0
-0.884005908574988,-0.884005908574988,-0.8841956126781807,-0.8833958125731636,-0.8837311360312717,-0.9173043104071084,0
-0.8838463074822952,-0.8838463074822952,-0.884454214420798,-0.883201878534254,-0.8841622714697966,-0.9174284503153579,0
-0.8822345309210897,-0.8822345309210897,-0.8828284044919436,-0.8832476984689653,-0.8840187031637581,-0.9163669009812824,0
-0.8828375759366296,-0.8828375759366296,-0.883083955469619,-0.8820231508598135,-0.8824036102410772,-0.9170994302062393,0
-0.8833948623026529,-0.8833948623026529,-0.8836749373365053,-0.8825959652374109,-0.8830079686414573,-0.9172924506800939,0
-0.8837374000248068,-0.8837374000248068,-0.8840777170844456,-0.8830604921207279,-0.8835706778531188,-0.9175634375966302,0
-0.8839724179343371,-0.8839724179343371,-0.8844679657795803,-0.8831899937966665,-0.8839484551192743,-0.9178889853315567,0
-0.8850427673457478,-0.8850427673457478,-0.8847310720554099,-0.8843214792645204,-0.8841444693044337,-0.9174544829982582,0
-0.885124891356467,-0.885124891356467,-0.8854728963451188,-0.8844242170509463,-0.8852261723339442,-0.9170047751080022,0
-0.8845749833423789,-0.8845749833423789,-0.8852022806042236,-0.8843651380653602,-0.885266478709005,-0.9168929302389834,0
-0.8847344893909029,-0.8847344893909029,-0.8851834131269567,-0.8840048206976382,-0.8847223887728711,-0.9173220620343553,0
-0.885143818306021,-0.885143818306021,-0.8854594729793748,-0.884389544490532,-0.8848874054885559,-0.9175473968476294,0
-0.8858893593883046,-0.8858893593883046,-0.8858256449802974,-0.8851304612125802,-0.8853100008079399,-0.9170855862654009,0
-0.8873577303831816,-0.8873577303831816,-0.8864455374999304,-0.8867006433679984,-0.8860436280864759,-0.9162587309572541,0
-0.8877580988265084,-0.8877580988265084,-0.8875102616260444,-0.8884975632365144,-0.8875299807632042,-0.9144328697471185,0
-0.8872996101428485,-0.8872996101428485,-0.8873538332955817,-0.8878461732086054,-0.8879391391598793,-0.9146503383674053,0
-0.8870069516004832,-0.8870069516004832,-0.8876301280425776,-0.8869660312069024,-0.8874499420402951,-0.916159348165875,0
-0.8862042494928624,-0.8862042494928624,-0.8869206404289679,-0.8866367025805544,-0.8871844954564615,-0.9158791083338532,0
